"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Childrens Ibuprofen Oral Suspension","76281-128-24","100 mg/5mL","SUSPENSION","ORAL","ANDA210602","AptaPharma Inc.","76281-128","IBUPROFEN","IBUPROFEN","HUMAN OTC DRUG","11/01/2023","N/A","ANDA","1 BOTTLE in 1 CARTON (76281-128-24)  / 118 mL in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2024"
"Childrens Loratadine","68788-8266-1","5 mg/5mL","SOLUTION","ORAL","ANDA076805","Preferred Pharmaceuticals Inc.","68788-8266","Loratadine","LORATADINE","HUMAN OTC DRUG","09/23/2022","N/A","ANDA","1 BOTTLE in 1 CARTON (68788-8266-1)  / 120 mL in 1 BOTTLE","N/A","N/A","No","12/31/2024"
"Chlorpromazine Hydrochloride","68462-862-01","25 mg/1","TABLET, FILM COATED","ORAL","ANDA212144","Glenmark Pharmaceuticals Inc., USA","68462-862","Chlorpromazine Hydrochloride","CHLORPROMAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","03/23/2021","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE (68462-862-01)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2025"
"Chlorpromazine Hydrochloride","68462-862-10","25 mg/1","TABLET, FILM COATED","ORAL","ANDA212144","Glenmark Pharmaceuticals Inc., USA","68462-862","Chlorpromazine Hydrochloride","CHLORPROMAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","03/23/2021","N/A","ANDA","1000 TABLET, FILM COATED in 1 BOTTLE (68462-862-10)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2025"
"CHLORZOXAZONE","71335-2009-1","500 mg/1","TABLET","ORAL","ANDA089853","Bryant Ranch Prepack","71335-2009","CHLORZOXAZONE","CHLORZOXAZONE","HUMAN PRESCRIPTION DRUG","02/10/2022","N/A","ANDA","20 TABLET in 1 BOTTLE (71335-2009-1)","Centrally-mediated Muscle Relaxation [PE],  Muscle Relaxant [EPC]","N/A","No","12/31/2024"
"CHLORZOXAZONE","71335-2009-2","500 mg/1","TABLET","ORAL","ANDA089853","Bryant Ranch Prepack","71335-2009","CHLORZOXAZONE","CHLORZOXAZONE","HUMAN PRESCRIPTION DRUG","02/10/2022","N/A","ANDA","30 TABLET in 1 BOTTLE (71335-2009-2)","Centrally-mediated Muscle Relaxation [PE],  Muscle Relaxant [EPC]","N/A","No","12/31/2024"
"CHLORZOXAZONE","71335-2009-3","500 mg/1","TABLET","ORAL","ANDA089853","Bryant Ranch Prepack","71335-2009","CHLORZOXAZONE","CHLORZOXAZONE","HUMAN PRESCRIPTION DRUG","02/10/2022","N/A","ANDA","40 TABLET in 1 BOTTLE (71335-2009-3)","Centrally-mediated Muscle Relaxation [PE],  Muscle Relaxant [EPC]","N/A","No","12/31/2024"
"CHLORZOXAZONE","71335-2009-4","500 mg/1","TABLET","ORAL","ANDA089853","Bryant Ranch Prepack","71335-2009","CHLORZOXAZONE","CHLORZOXAZONE","HUMAN PRESCRIPTION DRUG","02/10/2022","N/A","ANDA","90 TABLET in 1 BOTTLE (71335-2009-4)","Centrally-mediated Muscle Relaxation [PE],  Muscle Relaxant [EPC]","N/A","No","12/31/2024"
"CHLORZOXAZONE","71335-2009-5","500 mg/1","TABLET","ORAL","ANDA089853","Bryant Ranch Prepack","71335-2009","CHLORZOXAZONE","CHLORZOXAZONE","HUMAN PRESCRIPTION DRUG","02/10/2022","N/A","ANDA","60 TABLET in 1 BOTTLE (71335-2009-5)","Centrally-mediated Muscle Relaxation [PE],  Muscle Relaxant [EPC]","N/A","No","12/31/2024"
"CHLORZOXAZONE","71335-2009-6","500 mg/1","TABLET","ORAL","ANDA089853","Bryant Ranch Prepack","71335-2009","CHLORZOXAZONE","CHLORZOXAZONE","HUMAN PRESCRIPTION DRUG","02/10/2022","N/A","ANDA","100 TABLET in 1 BOTTLE (71335-2009-6)","Centrally-mediated Muscle Relaxation [PE],  Muscle Relaxant [EPC]","N/A","No","12/31/2024"
"CHLORZOXAZONE","71335-2009-7","500 mg/1","TABLET","ORAL","ANDA089853","Bryant Ranch Prepack","71335-2009","CHLORZOXAZONE","CHLORZOXAZONE","HUMAN PRESCRIPTION DRUG","02/10/2022","N/A","ANDA","14 TABLET in 1 BOTTLE (71335-2009-7)","Centrally-mediated Muscle Relaxation [PE],  Muscle Relaxant [EPC]","N/A","No","12/31/2024"
"CHLORZOXAZONE","71335-2009-8","500 mg/1","TABLET","ORAL","ANDA089853","Bryant Ranch Prepack","71335-2009","CHLORZOXAZONE","CHLORZOXAZONE","HUMAN PRESCRIPTION DRUG","02/10/2022","N/A","ANDA","7 TABLET in 1 BOTTLE (71335-2009-8)","Centrally-mediated Muscle Relaxation [PE],  Muscle Relaxant [EPC]","N/A","No","12/31/2024"
"CHLORZOXAZONE","71335-2009-9","500 mg/1","TABLET","ORAL","ANDA089853","Bryant Ranch Prepack","71335-2009","CHLORZOXAZONE","CHLORZOXAZONE","HUMAN PRESCRIPTION DRUG","02/10/2022","N/A","ANDA","120 TABLET in 1 BOTTLE (71335-2009-9)","Centrally-mediated Muscle Relaxation [PE],  Muscle Relaxant [EPC]","N/A","No","12/31/2024"
"Cinnabar Dandelion","48951-3225-2","10 [hp_X]/1,                         3  [hp_X]/1,                         3  [hp_X]/1,                         20  [hp_X]/1,                         2  [hp_X]/1","PELLET","ORAL","","Uriel Pharmacy Inc.","48951-3225","Cinnabar Dandelion","CARBONATE ION;  ELYMUS REPENS ROOT;  FERROUS CATION;  MERCURIC CATION;  TARAXACUM OFFICINALE","HUMAN OTC DRUG","09/01/2009","N/A","UNAPPROVED HOMEOPATHIC","1350 PELLET in 1 BOTTLE, GLASS (48951-3225-2)","N/A","N/A","No","12/31/2025"
"CLARIFAST One Step Acne Treatment","82908-358-00","5 mg/mL","CREAM","TOPICAL","M006","VIREO SYSTEMS, INC.","82908-358","SALICYLIC ACID","SALICYLIC ACID","HUMAN OTC DRUG","08/08/2022","N/A","OTC MONOGRAPH DRUG","81.33 mL in 1 JAR (82908-358-00)","N/A","N/A","No","12/31/2024"
"Clear Future Mattifying Treatment","42508-311-06",".5 mg/50mL","LOTION","TOPICAL","part333D","Arbonne International, LLC","42508-311","SALICYLIC ACID","SALICYLIC ACID","HUMAN OTC DRUG","04/01/2015","N/A","OTC MONOGRAPH FINAL","1 TUBE in 1 CARTON (42508-311-06)  / 50 mL in 1 TUBE","N/A","N/A","No","12/31/2024"
"Clindamycin hydrochloride","50090-7006-0","150 mg/1","CAPSULE","ORAL","ANDA065061","A-S Medication Solutions","50090-7006","Clindamycin hydrochloride","CLINDAMYCIN HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/04/2024","N/A","ANDA","30 CAPSULE in 1 BOTTLE (50090-7006-0)","Decreased Sebaceous Gland Activity [PE],  Lincosamide Antibacterial [EPC],  Lincosamides [CS],  Neuromuscular Blockade [PE]","N/A","No","12/31/2025"
"Clindamycin hydrochloride","50090-7006-1","150 mg/1","CAPSULE","ORAL","ANDA065061","A-S Medication Solutions","50090-7006","Clindamycin hydrochloride","CLINDAMYCIN HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/04/2024","N/A","ANDA","15 CAPSULE in 1 BOTTLE (50090-7006-1)","Decreased Sebaceous Gland Activity [PE],  Lincosamide Antibacterial [EPC],  Lincosamides [CS],  Neuromuscular Blockade [PE]","N/A","No","12/31/2025"
"Clindamycin hydrochloride","50090-7006-3","150 mg/1","CAPSULE","ORAL","ANDA065061","A-S Medication Solutions","50090-7006","Clindamycin hydrochloride","CLINDAMYCIN HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/04/2024","N/A","ANDA","4 CAPSULE in 1 BOTTLE (50090-7006-3)","Decreased Sebaceous Gland Activity [PE],  Lincosamide Antibacterial [EPC],  Lincosamides [CS],  Neuromuscular Blockade [PE]","N/A","No","12/31/2025"
"Clindamycin hydrochloride","50090-7006-4","150 mg/1","CAPSULE","ORAL","ANDA065061","A-S Medication Solutions","50090-7006","Clindamycin hydrochloride","CLINDAMYCIN HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/04/2024","N/A","ANDA","100 CAPSULE in 1 BOTTLE (50090-7006-4)","Decreased Sebaceous Gland Activity [PE],  Lincosamide Antibacterial [EPC],  Lincosamides [CS],  Neuromuscular Blockade [PE]","N/A","No","12/31/2025"
"Clindamycin hydrochloride","50090-7006-6","150 mg/1","CAPSULE","ORAL","ANDA065061","A-S Medication Solutions","50090-7006","Clindamycin hydrochloride","CLINDAMYCIN HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/04/2024","N/A","ANDA","21 CAPSULE in 1 BOTTLE (50090-7006-6)","Decreased Sebaceous Gland Activity [PE],  Lincosamide Antibacterial [EPC],  Lincosamides [CS],  Neuromuscular Blockade [PE]","N/A","No","12/31/2025"
"Clindamycin hydrochloride","50090-7006-7","150 mg/1","CAPSULE","ORAL","ANDA065061","A-S Medication Solutions","50090-7006","Clindamycin hydrochloride","CLINDAMYCIN HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/04/2024","N/A","ANDA","42 CAPSULE in 1 BOTTLE (50090-7006-7)","Decreased Sebaceous Gland Activity [PE],  Lincosamide Antibacterial [EPC],  Lincosamides [CS],  Neuromuscular Blockade [PE]","N/A","No","12/31/2025"
"clindamycin palmitate hydrochloride","59762-0016-1","75 mg/5mL","SOLUTION","ORAL","ANDA062644","Greenstone LLC","59762-0016","clindamycin palmitate hydrochloride","CLINDAMYCIN PALMITATE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/07/1986","N/A","ANDA","1 BOTTLE in 1 CARTON (59762-0016-1)  / 100 mL in 1 BOTTLE","Decreased Sebaceous Gland Activity [PE],  Lincosamide Antibacterial [EPC],  Lincosamides [CS],  Neuromuscular Blockade [PE]","N/A","No","12/31/2024"
"Clindamycin Phosphate","50090-5958-0","10 mg/g","GEL","TOPICAL","ANDA212438","A-S Medication Solutions","50090-5958","Clindamycin Phosphate USP, 1%","CLINDAMYCIN PHOSPHATE","HUMAN PRESCRIPTION DRUG","04/07/2022","N/A","ANDA","1 TUBE in 1 CARTON (50090-5958-0)  / 30 g in 1 TUBE","Decreased Sebaceous Gland Activity [PE],  Lincosamide Antibacterial [EPC],  Lincosamides [CS],  Neuromuscular Blockade [PE]","N/A","No","12/31/2025"
"Clomipramine Hydrochloride","59651-382-01","50 mg/1","CAPSULE","ORAL","ANDA216440","Aurobindo Pharma Limited","59651-382","Clomipramine Hydrochloride","CLOMIPRAMINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","03/20/2023","N/A","ANDA","100 CAPSULE in 1 BOTTLE (59651-382-01)","Tricyclic Antidepressant [EPC]","N/A","No","12/31/2024"
"Clomipramine Hydrochloride","59651-382-30","50 mg/1","CAPSULE","ORAL","ANDA216440","Aurobindo Pharma Limited","59651-382","Clomipramine Hydrochloride","CLOMIPRAMINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","03/20/2023","N/A","ANDA","30 CAPSULE in 1 BOTTLE (59651-382-30)","Tricyclic Antidepressant [EPC]","N/A","No","12/31/2024"
"Clomipramine Hydrochloride","59651-382-90","50 mg/1","CAPSULE","ORAL","ANDA216440","Aurobindo Pharma Limited","59651-382","Clomipramine Hydrochloride","CLOMIPRAMINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","03/20/2023","N/A","ANDA","90 CAPSULE in 1 BOTTLE (59651-382-90)","Tricyclic Antidepressant [EPC]","N/A","No","12/31/2024"
"CLOZAPINE","65862-847-05","200 mg/1","TABLET","ORAL","ANDA206433","Aurobindo Pharma Limited","65862-847","CLOZAPINE","CLOZAPINE","HUMAN PRESCRIPTION DRUG","11/29/2016","N/A","ANDA","500 TABLET in 1 BOTTLE (65862-847-05)","Atypical Antipsychotic [EPC]","N/A","No","12/31/2025"
"CLOZAPINE","65862-847-78","200 mg/1","TABLET","ORAL","ANDA206433","Aurobindo Pharma Limited","65862-847","CLOZAPINE","CLOZAPINE","HUMAN PRESCRIPTION DRUG","11/29/2016","N/A","ANDA","10 BLISTER PACK in 1 CARTON (65862-847-78)  / 10 TABLET in 1 BLISTER PACK (65862-847-10)","Atypical Antipsychotic [EPC]","N/A","No","12/31/2025"
"CLOZAPINE","65862-847-01","200 mg/1","TABLET","ORAL","ANDA206433","Aurobindo Pharma Limited","65862-847","CLOZAPINE","CLOZAPINE","HUMAN PRESCRIPTION DRUG","11/29/2016","N/A","ANDA","100 TABLET in 1 BOTTLE (65862-847-01)","Atypical Antipsychotic [EPC]","N/A","No","12/31/2025"
"COCO AND EVE DAILY RADIANCE PRIMER SPF 50","82931-002-50","3 g/100mL,                         8  g/100mL,                         5  g/100mL,                         6  g/100mL","LOTION","TOPICAL","part352","Supernova USA Inc.","82931-002","COCO AND EVE DAILY RADIANCE PRIMER SPF 50","AVOBENZONE;  HOMOSALATE;  OCTISALATE;  OCTOCRYLENE","HUMAN OTC DRUG","04/01/2023","N/A","OTC MONOGRAPH FINAL","1 BOTTLE, PUMP in 1 CARTON (82931-002-50)  / 50 mL in 1 BOTTLE, PUMP","N/A","N/A","No","12/31/2024"
"Colgate Total SF Whitening Gel","35000-175-66","1.1 mg/g","PASTE, DENTIFRICE","DENTAL","M021","Colgate-Palmolive Company","35000-175","Stannous Fluoride","STANNOUS FLUORIDE","HUMAN OTC DRUG","12/27/2021","N/A","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (35000-175-66)  / 144 g in 1 TUBE","N/A","N/A","No","12/31/2025"
"Colgate Total SF Whitening Gel","35000-175-96","1.1 mg/g","PASTE, DENTIFRICE","DENTAL","M021","Colgate-Palmolive Company","35000-175","Stannous Fluoride","STANNOUS FLUORIDE","HUMAN OTC DRUG","11/01/2018","12/30/2024","OTC MONOGRAPH DRUG","2 TUBE in 1 CARTON (35000-175-96)  / 136 g in 1 TUBE","N/A","N/A","No","12/31/2025"
"Colgate Total SF Whitening Gel","35000-175-65","1.1 mg/g","PASTE, DENTIFRICE","DENTAL","M021","Colgate-Palmolive Company","35000-175","Stannous Fluoride","STANNOUS FLUORIDE","HUMAN OTC DRUG","12/01/2021","N/A","OTC MONOGRAPH DRUG","2 TUBE in 1 CARTON (35000-175-65)  / 144 g in 1 TUBE","N/A","N/A","No","12/31/2025"
"Colgate Total SF Whitening Gel","35000-175-60","1.1 mg/g","PASTE, DENTIFRICE","DENTAL","M021","Colgate-Palmolive Company","35000-175","Stannous Fluoride","STANNOUS FLUORIDE","HUMAN OTC DRUG","02/10/2021","N/A","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (35000-175-60)  / 170 g in 1 TUBE","N/A","N/A","No","12/31/2025"
"Colgate Total SF Whitening Gel","35000-175-32","1.1 mg/g","PASTE, DENTIFRICE","DENTAL","M021","Colgate-Palmolive Company","35000-175","Stannous Fluoride","STANNOUS FLUORIDE","HUMAN OTC DRUG","11/01/2018","N/A","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (35000-175-32)  / 93 g in 1 TUBE","N/A","N/A","No","12/31/2025"
"Colgate Total SF Whitening Gel","35000-175-48","1.1 mg/g","PASTE, DENTIFRICE","DENTAL","M021","Colgate-Palmolive Company","35000-175","Stannous Fluoride","STANNOUS FLUORIDE","HUMAN OTC DRUG","11/01/2018","12/30/2024","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (35000-175-48)  / 136 g in 1 TUBE","N/A","N/A","No","12/31/2025"
"Colgate Total SF Whitening Gel","35000-175-78","1.1 mg/g","PASTE, DENTIFRICE","DENTAL","M021","Colgate-Palmolive Company","35000-175","Stannous Fluoride","STANNOUS FLUORIDE","HUMAN OTC DRUG","11/01/2018","12/30/2024","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (35000-175-78)  / 221 g in 1 TUBE","N/A","N/A","No","12/31/2025"
"Colgate Total SF Whitening Gel","35000-175-95","1.1 mg/g","PASTE, DENTIFRICE","DENTAL","M021","Colgate-Palmolive Company","35000-175","Stannous Fluoride","STANNOUS FLUORIDE","HUMAN OTC DRUG","11/01/2018","12/30/2024","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (35000-175-95)  / 178 g in 1 TUBE","N/A","N/A","No","12/31/2025"
"Cough Drops Dollar General Menthol 30ct","75712-033-01","5.4 mg/1","LOZENGE","ORAL","M012","Dollar General Corporation","75712-033","MENTHOL","LEVOMENTHOL","HUMAN OTC DRUG","03/15/2024","N/A","OTC MONOGRAPH DRUG","9 BAG in 1 CARTON (75712-033-01)  / 30 LOZENGE in 1 BAG","N/A","N/A","No","12/31/2025"
"Cream","61354-051-04","4.55 mg/100mg,                         3.5  mg/100mg","LOTION","TOPICAL","part352","OXYGEN DEVELOPMENT, LLC","61354-051","Titanium Dioxide, Zinc Oxide","TITANIUM DIOXIDE;  ZINC OXIDE","HUMAN OTC DRUG","02/22/2021","N/A","OTC MONOGRAPH FINAL","1 TUBE in 1 CARTON (61354-051-04)  / 30 mg in 1 TUBE","N/A","N/A","No","12/31/2024"
"Cream","61354-051-25","4.55 mg/100mg,                         3.5  mg/100mg","LOTION","TOPICAL","part352","OXYGEN DEVELOPMENT, LLC","61354-051","Titanium Dioxide, Zinc Oxide","TITANIUM DIOXIDE;  ZINC OXIDE","HUMAN OTC DRUG","02/22/2021","N/A","OTC MONOGRAPH FINAL","1 TUBE in 1 CARTON (61354-051-25)  / 30 mg in 1 TUBE","N/A","N/A","No","12/31/2024"
"Crest 3D White Stain Eraser","58933-879-23","1.5 mg/g","PASTE, DENTIFRICE","DENTAL","M021","Procter & Gamble Manufactura, S. de R.L. de C.V.","58933-879","Sodium Fluoride","SODIUM FLUORIDE","HUMAN OTC DRUG","07/04/2016","N/A","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (58933-879-23)  / 65 g in 1 TUBE","N/A","N/A","No","12/31/2024"
"Crest Anti-Cavity","58933-470-03","1.5 mg/g","PASTE, DENTIFRICE","DENTAL","M021","Procter & Gamble Manufactura S de RL de CV","58933-470","SODIUM FLUORIDE","SODIUM FLUORIDE","HUMAN OTC DRUG","08/01/2008","N/A","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (58933-470-03)  / 99 g in 1 TUBE","N/A","N/A","No","12/31/2024"
"Crest Cavity Protection","58933-005-04","1.5 mg/g","PASTE, DENTIFRICE","DENTAL","M021","Procter & Gamble Manufactura, S. de R.L. de C.V.","58933-005","Sodium Fluoride","SODIUM FLUORIDE","HUMAN OTC DRUG","02/01/2015","N/A","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (58933-005-04)  / 181 g in 1 TUBE","N/A","N/A","No","12/31/2024"
"Crest Cavity Protection","58933-005-05","1.5 mg/g","PASTE, DENTIFRICE","DENTAL","M021","Procter & Gamble Manufactura, S. de R.L. de C.V.","58933-005","Sodium Fluoride","SODIUM FLUORIDE","HUMAN OTC DRUG","02/01/2015","N/A","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (58933-005-05)  / 232 g in 1 TUBE","N/A","N/A","No","12/31/2024"
"Crest Cavity Protection","58933-005-08","1.5 mg/g","PASTE, DENTIFRICE","DENTAL","M021","Procter & Gamble Manufactura, S. de R.L. de C.V.","58933-005","Sodium Fluoride","SODIUM FLUORIDE","HUMAN OTC DRUG","02/01/2015","N/A","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (58933-005-08)  / 24 g in 1 TUBE (58933-005-10)","N/A","N/A","No","12/31/2024"
"Crest Cavity Protection","58933-005-11","1.5 mg/g","PASTE, DENTIFRICE","DENTAL","M021","Procter & Gamble Manufactura, S. de R.L. de C.V.","58933-005","Sodium Fluoride","SODIUM FLUORIDE","HUMAN OTC DRUG","02/01/2015","N/A","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (58933-005-11)  / 82 g in 1 TUBE","N/A","N/A","No","12/31/2024"
"Crest Cavity Protection","58933-005-57","1.5 mg/g","PASTE, DENTIFRICE","DENTAL","M021","Procter & Gamble Manufactura, S. de R.L. de C.V.","58933-005","Sodium Fluoride","SODIUM FLUORIDE","HUMAN OTC DRUG","09/10/2021","N/A","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (58933-005-57)  / 161 g in 1 TUBE","N/A","N/A","No","12/31/2024"
"Crest Cavity Protection","58933-005-82","1.5 mg/g","PASTE, DENTIFRICE","DENTAL","M021","Procter & Gamble Manufactura, S. de R.L. de C.V.","58933-005","Sodium Fluoride","SODIUM FLUORIDE","HUMAN OTC DRUG","09/10/2021","N/A","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (58933-005-82)  / 232 g in 1 TUBE","N/A","N/A","No","12/31/2024"
"Crest Cavity Protection","58933-005-24","1.5 mg/g","PASTE, DENTIFRICE","DENTAL","M021","Procter & Gamble Manufactura, S. de R.L. de C.V.","58933-005","Sodium Fluoride","SODIUM FLUORIDE","HUMAN OTC DRUG","02/01/2015","N/A","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (58933-005-24)  / 68 g in 1 TUBE","N/A","N/A","No","12/31/2024"
"Crest Cavity Protection","58933-005-85","1.5 mg/g","PASTE, DENTIFRICE","DENTAL","M021","Procter & Gamble Manufactura, S. de R.L. de C.V.","58933-005","Sodium Fluoride","SODIUM FLUORIDE","HUMAN OTC DRUG","02/01/2015","N/A","OTC MONOGRAPH DRUG","24 g in 1 TUBE (58933-005-85)","N/A","N/A","Yes","12/31/2024"
"Crest Kids Advanced Color Changing","58933-012-29","1.6 mg/g","PASTE, DENTIFRICE","DENTAL","M022","Procter & Gamble Manufactura, S de R.L. de C.V.","58933-012","Sodium Monofluorophosphate","SODIUM MONOFLUOROPHOSPHATE","HUMAN OTC DRUG","01/01/2023","N/A","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (58933-012-29)  / 82 g in 1 TUBE","N/A","N/A","No","12/31/2024"
"Crest Kids Advanced Color Changing","58933-012-42","1.6 mg/g","PASTE, DENTIFRICE","DENTAL","M022","Procter & Gamble Manufactura, S de R.L. de C.V.","58933-012","Sodium Monofluorophosphate","SODIUM MONOFLUOROPHOSPHATE","HUMAN OTC DRUG","01/01/2023","N/A","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (58933-012-42)  / 119 g in 1 TUBE","N/A","N/A","No","12/31/2024"
"Crest Kids Advanced Color Changing","58933-012-85","1.6 mg/g","PASTE, DENTIFRICE","DENTAL","M022","Procter & Gamble Manufactura, S de R.L. de C.V.","58933-012","Sodium Monofluorophosphate","SODIUM MONOFLUOROPHOSPHATE","HUMAN OTC DRUG","01/01/2023","N/A","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (58933-012-85)  / 24 g in 1 TUBE","N/A","N/A","No","12/31/2024"
"Crest Plus Baking Soda and Peroxide","69423-814-11","1.6 mg/g","PASTE, DENTIFRICE","DENTAL","M021","The Procter & Gamble Manufacturing Company","69423-814","Sodium Fluoride","SODIUM FLUORIDE","HUMAN OTC DRUG","11/13/2023","N/A","OTC MONOGRAPH DRUG","2 TUBE in 1 CELLO PACK (69423-814-11)  / 161 g in 1 TUBE","N/A","N/A","No","12/31/2024"
"Crest Plus Baking Soda and Peroxide","69423-814-24","1.6 mg/g","PASTE, DENTIFRICE","DENTAL","M021","The Procter & Gamble Manufacturing Company","69423-814","Sodium Fluoride","SODIUM FLUORIDE","HUMAN OTC DRUG","11/13/2023","N/A","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (69423-814-24)  / 68 g in 1 TUBE","N/A","N/A","No","12/31/2024"
"Crest Plus Baking Soda and Peroxide","69423-814-42","1.6 mg/g","PASTE, DENTIFRICE","DENTAL","M021","The Procter & Gamble Manufacturing Company","69423-814","Sodium Fluoride","SODIUM FLUORIDE","HUMAN OTC DRUG","11/13/2023","N/A","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (69423-814-42)  / 119 g in 1 TUBE","N/A","N/A","No","12/31/2024"
"Crest Plus Baking Soda and Peroxide","69423-814-57","1.6 mg/g","PASTE, DENTIFRICE","DENTAL","M021","The Procter & Gamble Manufacturing Company","69423-814","Sodium Fluoride","SODIUM FLUORIDE","HUMAN OTC DRUG","11/13/2023","N/A","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (69423-814-57)  / 161 g in 1 TUBE","N/A","N/A","No","12/31/2024"
"Crest Plus Baking Soda and Peroxide","69423-814-82","1.6 mg/g","PASTE, DENTIFRICE","DENTAL","M021","The Procter & Gamble Manufacturing Company","69423-814","Sodium Fluoride","SODIUM FLUORIDE","HUMAN OTC DRUG","11/13/2023","N/A","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (69423-814-82)  / 232 g in 1 TUBE","N/A","N/A","No","12/31/2024"
"Crest Pro-Health","69423-878-51","1.6 mg/g","GEL, DENTIFRICE","DENTAL","M021","The Procter & Gamble Manufacturing Company","69423-878","Stannous Fluoride","STANNOUS FLUORIDE","HUMAN OTC DRUG","01/01/2022","N/A","OTC MONOGRAPH DRUG","1 TUBE in 1 CARTON (69423-878-51)  / 144 g in 1 TUBE","N/A","N/A","No","12/31/2024"
"Crest Pro-Health","37000-604-46","1.4 mg/g","PASTE, DENTIFRICE","DENTAL","part355","The Procter & Gamble Manufacturing Company","37000-604","Stannous fluoride","STANNOUS FLUORIDE","HUMAN OTC DRUG","06/17/2017","N/A","OTC MONOGRAPH FINAL","1 TUBE in 1 CARTON (37000-604-46)  / 130 g in 1 TUBE","N/A","N/A","No","12/31/2024"
"Crest Pro-Health","37000-931-41","1.4 mg/g","PASTE, DENTIFRICE","DENTAL","part355","The Procter & Gamble Manufacturing Company","37000-931","Stannous Fluoride","STANNOUS FLUORIDE","HUMAN OTC DRUG","07/01/2019","N/A","OTC MONOGRAPH FINAL","1 TUBE in 1 CARTON (37000-931-41)  / 116 g in 1 TUBE","N/A","N/A","No","12/31/2024"
"Crest Pro-Health","37000-931-85","1.4 mg/g","PASTE, DENTIFRICE","DENTAL","part355","The Procter & Gamble Manufacturing Company","37000-931","Stannous Fluoride","STANNOUS FLUORIDE","HUMAN OTC DRUG","07/01/2019","N/A","OTC MONOGRAPH FINAL","1 TUBE in 1 CARTON (37000-931-85)  / 24 g in 1 TUBE","N/A","N/A","No","12/31/2024"
"Crest Pro-Health","37000-865-01",".1 mg/mL","RINSE","ORAL","part355","The Procter & Gamble Manufacturing Company","37000-865","Sodium Fluoride","SODIUM FLUORIDE","HUMAN OTC DRUG","07/29/2016","N/A","OTC MONOGRAPH FINAL","500 mL in 1 BOTTLE, PLASTIC (37000-865-01)","N/A","N/A","No","12/31/2024"
"Crest Pro-Health","37000-865-02",".1 mg/mL","RINSE","ORAL","part355","The Procter & Gamble Manufacturing Company","37000-865","Sodium Fluoride","SODIUM FLUORIDE","HUMAN OTC DRUG","07/29/2016","N/A","OTC MONOGRAPH FINAL","1000 mL in 1 BOTTLE, PLASTIC (37000-865-02)","N/A","N/A","No","12/31/2024"
"Crest Pro-Health","37000-865-36",".1 mg/mL","RINSE","ORAL","part355","The Procter & Gamble Manufacturing Company","37000-865","Sodium Fluoride","SODIUM FLUORIDE","HUMAN OTC DRUG","07/29/2016","N/A","OTC MONOGRAPH FINAL","36 mL in 1 BOTTLE, PLASTIC (37000-865-36)","N/A","N/A","No","12/31/2024"
